,Cluster_0,Cluster_1,Cluster_2,Cluster_3
bid_ask_spread_bps,0.012785653617347367,0.006810321768185747,0.012898964922645825,0.007132899890527289
imbalance_lvl1,0.06716227272247086,0.022315919207060372,0.06781375367992996,0.023546550550900828
cum_depth_imbalance,0.1991457669857406,0.06719777118849805,0.2026453272537528,0.06924271654098757
bid_slope,0.0015763005234728342,0.00013369537503168244,0.0015927454097421129,0.00014965164289518278
ask_slope,0.008270498762051154,0.0005993600606156692,0.008405548780018755,0.0006075372787736825
mean_bid_price_spacing,0.11589220292682492,0.05598472940760904,0.11681198064880377,0.05885326178718963
mean_ask_price_spacing,0.16014929043066667,0.06839000597009869,0.16158059138573125,0.07191133667579878
bid_depth_5lvl,0.03985588388514204,0.006597604554575314,0.04048283788097791,0.006722098121511326
ask_depth_5lvl,0.049077770950808446,0.002394839551577103,0.049764476336069084,0.0022840240482521436
volatility_10s,3.5126930851287533e-06,9.762639116410537e-07,3.5513989085475342e-06,1.0298839290057866e-06
volatility_30s,3.3190126063471057e-06,2.674107713104785e-06,3.335812185526883e-06,2.7986658291266416e-06
volatility_60s,3.23075328109161e-06,2.884341925069782e-06,3.2511886206086323e-06,3.0095728559748844e-06
zscore_10s,1.0938146686742602,0.2977354215476264,1.1123986957166663,0.30613983750729307
zscore_30s,1.4631058787022728,0.030181621782949537,1.4821061843371022,0.038123484660746984
zscore_60s,1.409833774627957,0.3680588991283319,1.424509941306936,0.38980077333834123
return_10s,0.0002821391367422647,5.3616792488795103e-05,0.00028664949066549157,5.478331026515432e-05
return_30s,0.0004033179392983216,0.00019996039860184495,0.00040606060529982293,0.00021059439159778614
return_60s,0.000444398932839428,0.00029656266797302005,0.0004477405847620502,0.00031021399227857636
rsi_10s,30.739041084479457,8.761752234788577,31.26640434799124,9.015290409666198
rsi_30s,14.939272833102512,6.954358498026845,15.04253869229557,7.332895287713028
rsi_60s,8.237715649072557,5.287515381598948,8.300754959195414,5.533098198552134
trend_slope_10s,0.016934377609487117,0.0031917957660758537,0.017204813645577192,0.0032607171604661675
trend_slope_30s,0.00674910707537698,0.0050908543344213375,0.006771776321172063,0.005346241722171871
trend_slope_60s,0.0030993526331689857,0.003952738735405111,0.003101853776098216,0.004126935293987872
volume_10s,0.0,0.0,0.0,0.0
volume_30s,0.0,0.0,0.0,0.0
volume_60s,0.0,0.0,0.0,0.0
volume_imbalance_10s,0.0,0.0,0.0,0.0
volume_imbalance_30s,0.0,0.0,0.0,0.0
volume_imbalance_60s,0.0,0.0,0.0,0.0
avg_trade_size_30s,0.0,0.0,0.0,0.0
vwap_shift_30s,0.0,0.0,0.0,0.0
